Date,Open,High,Low,Close,Adj Close,Volume
2021-06-16,548.460022,553.989990,535.719971,543.330017,543.330017,2842000
2021-06-17,539.989990,552.719971,538.750000,551.359985,551.359985,3566400
2021-06-18,569.960022,570.000000,556.390015,565.590027,565.590027,6762000
2021-06-21,565.989990,570.190002,560.349976,567.349976,567.349976,2625900
2021-06-22,568.510010,576.309998,567.000000,575.739990,575.739990,2370400
2021-06-23,577.989990,579.799988,570.710022,574.229980,574.229980,1616700
2021-06-24,575.900024,580.969971,574.960022,578.260010,578.260010,1835000
2021-06-25,578.640015,582.000000,577.059998,579.659973,579.659973,2133500
2021-06-28,582.710022,589.409973,581.000000,588.799988,588.799988,1714000
2021-06-29,586.780029,591.340027,583.900024,590.750000,590.750000,1204800
2021-06-30,590.750000,592.239990,585.000000,585.640015,585.640015,1704200
2021-07-01,583.330017,587.780029,581.349976,584.729980,584.729980,1646100
2021-07-02,588.669983,594.080017,587.960022,593.070007,593.070007,1744600
2021-07-06,595.869995,600.659973,592.479980,596.900024,596.900024,1657400
2021-07-07,600.000000,607.669983,597.400024,605.770020,605.770020,2022500
2021-07-08,595.640015,607.299988,593.330017,605.950012,605.950012,1846600
2021-07-09,601.429993,605.950012,597.440002,604.500000,604.500000,2145200
2021-07-12,606.000000,607.419983,596.479980,600.200012,600.200012,1696200
2021-07-13,600.559998,609.330017,598.419983,605.010010,605.010010,1435600
2021-07-14,608.140015,611.299988,604.010010,608.830017,608.830017,1376900
2021-07-15,608.400024,609.950012,602.650024,606.169983,606.169983,1618100
2021-07-16,608.710022,611.619995,603.659973,606.099976,606.099976,1249700
2021-07-19,602.750000,610.690002,598.140015,602.049988,602.049988,2046600
2021-07-20,605.390015,612.750000,598.479980,608.719971,608.719971,1675700
2021-07-21,605.719971,612.580017,603.320007,612.260010,612.260010,1381000
2021-07-22,614.580017,623.950012,614.580017,623.679993,623.679993,1477900
2021-07-23,625.760010,631.640015,622.000000,625.869995,625.869995,2030400
2021-07-26,624.179993,625.869995,619.729980,620.799988,620.799988,1389800
2021-07-27,621.000000,623.919983,610.640015,618.280029,618.280029,1540300
